"ISO3166","WHENCE","SITE","YEAR","VALUE"
"IDN","SHORT","Blongko, North Sulawesi",2006,14.59
"IRN",,,,
"IRQ",,,,
"IRL",,,,
"IMN",,,,
"ISR","SHORT","Eilat / Marine Lab",2007,18.84
"ISR","SHORT","Eilat / Marine Lab",2008,22.98
"ITA","OTHER","Italy",2003,23500
"JAM",,,,
"JPN","OTHER","Japan",1978,51500
"JPN","OTHER","Japan",1991,49500
"JPN","WAYCOTT","Japan",1978,51500
"JPN","WAYCOTT","Japan",1991,49500
"JEY",,,,
"JOR",,,,
"KAZ",,,,
"KEN","OTHER","KENYA",2003,3363
"KEN","SHORT","Kenya / Nyali Beach",2006,44.13
"KIR",,,,
"KWT",,,,
"KGZ",,,,
"LAO",,,,
"LVA",,,,
"LBN",,,,
"LSO",,,,
"LBR",,,,
"LBY",,,,
"LIE",,,,
"LTU",,,,
"LUX",,,,
"MDG","SHORT","Andavadoaka / Antsaranasoa",2008,17.07
"MDG","SHORT","Andavadoaka / Antsaranasoa",2009,12.3
"MDG","SHORT","Andavadoaka / Nosy Fasy",2008,24.16
"MDG","SHORT","Bay of Randobe/ Ifaty, Dune Hotel",2007,35.07
"MDG","SHORT","Bay of Randobe/ Ifaty, Dune Hotel",2008,27.2
"MDG","SHORT","Bay of Randobe/ Ifaty, Dune Hotel",2010,23.77
"MDG","SHORT","Bay of Randobe/ Ifaty, Reef Doctor",2007,12.03
"MDG","SHORT","Bay of Randobe/ Ifaty, Reef Doctor",2008,11.86
"MDG","SHORT","Bay of Randobe/ Ifaty, Reef Doctor",2010,10.04
"MWI",,,,
"MYS","OTHER","Malaysia",2003,300
"MYS","SHORT","Kuari Bay, Pulau Gaya, Sabah",2001,26.53
"MYS","SHORT","Kuari Bay, Pulau Gaya, Sabah",2002,15.25
"MYS","SHORT","Kuari Bay, Pulau Gaya, Sabah",2003,21
"MYS","SHORT","Kuari Bay, Pulau Gaya, Sabah",2004,11.29
"MYS","SHORT","Kuari Bay, Pulau Gaya, Sabah",2005,3.13
"MYS","SHORT","Kuari Bay, Pulau Gaya, Sabah",2006,2.01
"MYS","SHORT","Kuari Bay, Pulau Gaya, Sabah",2007,11.2
"MYS","SHORT","Kuari Bay, Pulau Gaya, Sabah",2008,11.43
"MYS","SHORT","Kuari Bay, Pulau Gaya, Sabah",2009,12.86
"MYS","SHORT","Kuari Bay, Pulau Gaya, Sabah",2010,9.21
"MYS","SHORT","Police Beach, Pulau Gaya, Sabah",2001,2.54
"MYS","SHORT","Police Beach, Pulau Gaya, Sabah",2002,3.16
"MYS","SHORT","Police Beach, Pulau Gaya, Sabah",2003,3.25
"MYS","SHORT","Police Beach, Pulau Gaya, Sabah",2004,3.39
"MYS","SHORT","Police Beach, Pulau Gaya, Sabah",2005,0.19
"MYS","SHORT","Police Beach, Pulau Gaya, Sabah",2006,0.32
"MYS","SHORT","Police Beach, Pulau Gaya, Sabah",2007,0.74
"MYS","SHORT","Police Beach, Pulau Gaya, Sabah",2008,3.69
"MYS","SHORT","Police Beach, Pulau Gaya, Sabah",2009,3.79
"MYS","SHORT","Police Beach, Pulau Gaya, Sabah",2010,0.64
"MDV",,,,
"MLI",,,,
"MLT",,,,
"MHL",,,,
"MTQ","OTHER","Martinique",2003,4100
"MRT",,,,
"MUS",,,,
"MYT",,,,
"MEX","OTHER","Mexico",2003,50000
"MEX","WAYCOTT","Bahia San Quintin",1987,2390
"MEX","WAYCOTT","Bahia San Quintin",2000,2069
"MEX","SHORT","San Quintin Bay",2004,54.73
"MEX","SHORT","San Quintin Bay",2005,28.76
"FSM","OTHER","Micronesia",2003,400
"FSM","SHORT","Pohnpei / Sapwitik",2007,31.83
"FSM","SHORT","Yap/Nimpal",2009,10.2
"FSM","SHORT","Yap/Nimpal",2010,14.42
"FSM","SHORT","Lacs, Okat Harbor, Kosrae",2001,23.35
"FSM","SHORT","Lacs, Okat Harbor, Kosrae",2002,20.58
"FSM","SHORT","Lacs, Okat Harbor, Kosrae",2003,21.68
"FSM","SHORT","Lacs, Okat Harbor, Kosrae",2004,19.93
"FSM","SHORT","Lacs, Okat Harbor, Kosrae",2005,22.15
"FSM","SHORT","Lacs, Okat Harbor, Kosrae",2006,19.53
"FSM","SHORT","Lacs, Okat Harbor, Kosrae",2007,21.63
"FSM","SHORT","Lacs, Okat Harbor, Kosrae",2008,25.27
"FSM","SHORT","Lacs, Okat Harbor, Kosrae",2009,25.06
"FSM","SHORT","Lacs, Okat Harbor, Kosrae",2010,21.82
"FSM","SHORT","Lelu, Kosrae",2004,24.32
"FSM","SHORT","Lelu, Kosrae",2005,28.28
"FSM","SHORT","Lelu, Kosrae",2006,27
"FSM","SHORT","Lelu, Kosrae",2007,27.46
"FSM","SHORT","Lelu, Kosrae",2008,26.17
"FSM","SHORT","Lelu, Kosrae",2009,23.27
"FSM","SHORT","Lelu, Kosrae",2010,24.37
"FSM","SHORT","Ipwal, Pohnpei",2004,37.56
"FSM","SHORT","Ipwal, Pohnpei",2005,36.77
"FSM","SHORT","Ipwal, Pohnpei",2007,37.58
"FSM","SHORT","Ipwal, Pohnpei",2008,37.43
"FSM","SHORT","Ipwal, Pohnpei",2009,35.99
"FSM","SHORT","Ipwal, Pohnpei",2010,38.03
"FSM","SHORT","South Pohnpei",2001,19.78
"FSM","SHORT","South Pohnpei",2002,21.36
"FSM","SHORT","South Pohnpei",2003,20.34
"FSM","SHORT","South Pohnpei",2004,26.36
"FSM","SHORT","South Pohnpei",2007,44.45
"FSM","SHORT","South Pohnpei",2008,36.46
"FSM","SHORT","South Pohnpei",2009,46.47
"FSM","SHORT","South Pohnpei",2010,50.19
"MCO",,,,
"MNG",,,,
"MNE",,,,
"MSR",,,,
"MAR",,,,
"MOZ","OTHER","Mozambique",2003,43900
"MMR",,,,
"NAM",,,,
"NRU",,,,
"NPL",,,,
"NLD","WAYCOTT","Paap",1994,27
"NLD","WAYCOTT","Paap",1995,64
"NLD","WAYCOTT","Paap",1996,159
"NLD","WAYCOTT","Paap",1997,114
"NLD","WAYCOTT","De Keeg-De Ans",1972,15
"NLD","WAYCOTT","De Keeg-De Ans",1987,23
"NLD","WAYCOTT","Hoorn",1972,115
"NLD","WAYCOTT","Hoorn",1987,84
"NLD","WAYCOTT","Linthorst Homanpolder",1972,0
"NLD","WAYCOTT","Linthorst Homanpolder",1987,75
"NLD","WAYCOTT","Emmapolder",1972,0
"NLD","WAYCOTT","Emmapolder",1987,77
"NLD","WAYCOTT","Balgzand",1972,12
"NLD","WAYCOTT","Balgzand",1987,1
"NCL",,,,
"NZL","OTHER","New Zealand",2003,4400
"NZL","WAYCOTT","Whangamata Harbor",1944,79
"NZL","WAYCOTT","Whangamata Harbor",1998,60
"NZL","WAYCOTT","Tauranga Harbour",1959,8617.65
"NZL","WAYCOTT","Tauranga Harbour",1996,2930
"NIC","OTHER","Nicaragua",2003,240
"NER",,,,
"NGA",,,,
"NIU",,,,
"NFK",,,,
"MNP",,,,
"NOR",,,,
"PSE",,,,
"OMN",,,,
"PAK",,,,
"PLW","SHORT","Ngchesar, Babelthraup",2004,10.37
"PLW","SHORT","Ngchesar, Babelthraup",2005,10.76
"PLW","SHORT","Ngchesar, Babelthraup",2006,10.11
"PLW","SHORT","Ngchesar, Babelthraup",2007,6.05
"PLW","SHORT","Ngchesar, Babelthraup",2008,6.31
"PLW","SHORT","Ngchesar, Babelthraup",2009,9.77
"PLW","SHORT","Ngchesar, Babelthraup",2010,12.59
"PLW","SHORT","Ngermiid, Koror",2001,12.42
"PLW","SHORT","Ngermiid, Koror",2002,9.41
"PLW","SHORT","Ngermiid, Koror",2003,12.39
"PLW","SHORT","Ngermiid, Koror",2004,3.81
"PLW","SHORT","Ngermiid, Koror",2005,5.29
"PLW","SHORT","Ngermiid, Koror",2006,3.55
"PLW","SHORT","Ngermiid, Koror",2007,2.53
"PLW","SHORT","Ngermiid, Koror",2008,2.62
"PLW","SHORT","Ngermiid, Koror",2009,2.56
"PLW","SHORT","Ngermiid, Koror",2010,3.66
"PAN",,,,
"PNG","SHORT","Nusa, Kavieng",2001,13.68
"PNG","SHORT","Nusa, Kavieng",2002,13.62
"PNG","SHORT","Nusa, Kavieng",2003,14.88
"PNG","SHORT","Nusa, Kavieng",2004,11.77
"PNG","SHORT","Sivasat, Kavieng",2001,13.99
"PNG","SHORT","Sivasat, Kavieng",2002,16.79
"PRY",,,,
"PER",,,,
"PHL","OTHER","Philippines",2003,97800
"PHL","OTHER","4 principalities",2009,367
"PHL","SHORT","Bolinao/ Ilog Malino w/coal, Pangasinan",2008,7.28
"PHL","SHORT","Bolinao/ Ilog Malino w/coal, Pangasinan",2009,8.51
"PHL","SHORT","Bolinao/ Ilog Malino, Pangasinan",2008,15.99
"PHL","SHORT","Bolinao/ Ilog Malino, Pangasinan",2009,13.81
"PHL","SHORT","Camudmud",2010,5.56
"PHL","SHORT","Guimaras / East Igang Bay, Iloilo",2008,14.39
"PHL","SHORT","Guimaras / East Igang Bay, Iloilo",2009,8.71
"PHL","SHORT","Guimaras / East Igang Bay, Iloilo",2010,8.12
"PHL","SHORT","Guimaras / West Igang Bay, Iloilo",2008,18.65
"PHL","SHORT","Guimaras / West Igang Bay, Iloilo",2009,14.83
"PHL","SHORT","Guimaras / West Igang Bay, Iloilo",2010,18.34
"PHL","SHORT","Paniquian, Mindoro",2001,11.3
"PHL","SHORT","Paniquian, Mindoro",2002,12.53
"PHL","SHORT","Paniquian, Mindoro",2003,13.25
"PHL","SHORT","Paniquian, Mindoro",2004,10.78
"PHL","SHORT","Paniquian, Mindoro",2005,7.92
"PHL","SHORT","Paniquian, Mindoro",2008,13.91
"PHL","SHORT","Paniquian, Mindoro",2009,12.42
"PHL","SHORT","Sabang, Mindoro",2001,14.22
"PHL","SHORT","Sabang, Mindoro",2002,13.81
"PHL","SHORT","Sabang, Mindoro",2003,12.25
"PHL","SHORT","Sabang, Mindoro",2004,10.8
"PHL","SHORT","Sabang, Mindoro",2005,6.39
"PHL","SHORT","Sabang, Mindoro",2008,11.55
"PHL","SHORT","Sabang, Mindoro",2009,11.78
"PHL","SHORT","Samal Island",2010,6.87
"PCN",,,,
"POL",,,,
"PRT","WAYCOTT","Mondego Estuary (South Arm)",1986,15
"PRT","WAYCOTT","Mondego Estuary (South Arm)",1993,1.6
"PRT","WAYCOTT","Mondego Estuary (South Arm)",1997,0.02
"PRT","WAYCOTT","Mondego Estuary (South Arm)",2000,0.9
"PRT","WAYCOTT","Mondego Estuary (South Arm)",2002,1.6
"PRT","WAYCOTT","Ria Formosa",1940,7.1
"PRT","WAYCOTT","Ria Formosa",1980,6
"PRT","WAYCOTT","Ria Formosa",1989,7.9
"PRT","WAYCOTT","Ria Formosa",1996,50.1
"PRT","WAYCOTT","Ria Formosa",1998,20.7
"PRT","WAYCOTT","Canal de Ovar",1984,800
"PRT","WAYCOTT","Canal de Ovar",2003,10
"PRT","WAYCOTT","Portinho da Rabida",1983,30
"PRT","WAYCOTT","Portinho da Rabida",2005,0.01
"PRT","SHORT","Faro/Ria Formosa impacted",2009,55.62
"PRT","SHORT","Faro/Ria Formosa impacted",2010,45.43
"PRT","SHORT","Faro/Ria Formosa impacted",2011,38.78
"PRT","SHORT","Faro/Ria Formosa reference",2009,59.31
"PRT","SHORT","Faro/Ria Formosa reference",2010,58.16
"PRT","SHORT","Faro/Ria Formosa reference",2011,62.09
"PRI","OTHER","Puerto Rico",2003,27.68
"QAT",,,,
"KOR","OTHER","Korea",2003,7000
"KOR","OTHER","West coast",2008,70.3
"KOR","WAYCOTT","Kaduk Island",1980,1360
"KOR","WAYCOTT","Kaduk Island",1990,0
"KOR","SHORT","Koje Bay",2008,59.52
"KOR","SHORT","Koje Bay",2009,41.2
"MDA",,,,
"REU",,,,
"ROU",,,,
"RUS",,,,
"RWA",,,,
"BLM",,,,
"SHN",,,,
"KNA",,,,
"LCA",,,,
"MAF",,,,
"SPM",,,,
"VCT",,,,
"WSM",,,,
"SMR",,,,
"STP",,,,
"SAU","OTHER","Saudi Arabia",2003,37000
"SEN",,,,
"SRB",,,,
"SYC",,,,
"SLE",,,,
"SGP",,,,
"SXM",,,,
"SVK",,,,
"SVN",,,,
"SLB",,,,
"SOM",,,,
"ZAF","WAYCOTT","Kromme Estuary",1942,1.16
"ZAF","WAYCOTT","Kromme Estuary",1961,6.02
"ZAF","WAYCOTT","Kromme Estuary",1975,6.08
"ZAF","WAYCOTT","Kromme Estuary",1979,6.13
"ZAF","WAYCOTT","Kromme Estuary",1985,9.92
"ZAF","WAYCOTT","Kromme Estuary",1986,9.78
"ZAF","WAYCOTT","Kromme Estuary",1988,11.65
"ZAF","WAYCOTT","Kromme Estuary",1989,12.2
"ESP","OTHER","Spain",2003,11500
"ESP","WAYCOTT","Cala Millo",1956,259.4
"ESP","WAYCOTT","Cala Millo",2001,213.7
"ESP","WAYCOTT","Calvia",1956,313.1
"ESP","WAYCOTT","Calvia",2001,121.7
"ESP","WAYCOTT","Hornillo Bay",1988,40
"ESP","WAYCOTT","Hornillo Bay",1994,18.85
"ESP","WAYCOTT","Hornillo Bay",1998,18.85
"ESP","WAYCOTT","Medes Islands",1984,9
"ESP","WAYCOTT","Medes Islands",1994,9
"ESP","WAYCOTT","Medes Islands",2001,9
"LKA",,,,
"SDN",,,,
"SUR",,,,
"SJM",,,,
"SWZ",,,,
"SWE","OTHER","Sweden",1980,2000
"SWE","OTHER","Sweden",2000,840
"SWE","WAYCOTT","Stromstad",1980,190
"SWE","WAYCOTT","Stromstad",2000,107
"SWE","WAYCOTT","Lysekil",1980,167
"SWE","WAYCOTT","Lysekil",2000,163
"SWE","WAYCOTT","Udevalla",1980,384
"SWE","WAYCOTT","Udevalla",2000,104
"SWE","WAYCOTT","Stenungsund",1980,290
"SWE","WAYCOTT","Stenungsund",2000,236
"SWE","WAYCOTT","Kungalv",1980,794
"SWE","WAYCOTT","Kungalv",2000,146
"SWE","WAYCOTT","Sweden West Coast",1980,2000
"SWE","WAYCOTT","Sweden West Coast",2000,840
"CHE",,,,
"SYR",,,,
"TJK",,,,
"THA","OTHER","Thailand",2003,9400
"THA","SHORT","Phetra PT01, Lidee Lek Island",2006,52.7
"THA","SHORT","Phetra PT01, Lidee Lek Island",2007,23.75
"THA","SHORT","Phetra PT01, Lidee Lek Island",2008,30.79
"THA","SHORT","Phetra PT01, Lidee Lek Island",2009,14.65
"THA","SHORT","Phetra PT02, Lidee Yai Island",2006,50.15
"THA","SHORT","Phetra PT02, Lidee Yai Island",2007,47.92
"THA","SHORT","Phetra PT02, Lidee Yai Island",2008,42.22
"THA","SHORT","Phetra PT02, Lidee Yai Island",2009,54.52
"THA","SHORT","Phetra PT03, Lidee Yai Island",2006,35.07
"THA","SHORT","Phetra PT03, Lidee Yai Island",2007,32.43
"THA","SHORT","Phetra PT03, Lidee Yai Island",2008,23.9
"THA","SHORT","Phetra PT03, Lidee Yai Island",2009,22.71
"THA","SHORT","Phetra PT03, Lidee Yai Island",2009,27.49
"THA","SHORT","Tarutao TT01, Talowaw Bay",2007,5.65
"THA","SHORT","Tarutao TT02, Talowaw Bay",2007,45.9
"THA","SHORT","Trang / Haad Chao Mai Marine Park",2006,12.87
"THA","SHORT","Trang / Haad Chao Mai Marine Park",2007,14.28
"THA","SHORT","Trang / Haad Chao Mai Marine Park",2008,13.08
"THA","SHORT","Trang / Haad Chao Mai Marine Park",2009,17.47
"THA","SHORT","Trang / Ko Muk",2006,13.76
"THA","SHORT","Trang / Ko Muk",2007,13.19
"THA","SHORT","Trang / Ko Muk",2008,15.08
"THA","SHORT","Trang / Ko Muk",2009,14.1
"MKD",,,,
"TLS",,,,
"TGO",,,,
"TKL",,,,
"TON",,,,
"TTO","OTHER","Tobago only",2003,100
"TUN",,,,
"TUR",,,,
"TKM",,,,
"TCA",,,,
"TUV",,,,
"UGA",,,,
"UKR",,,,
"ARE","OTHER","UAE",2003,550000
"GBR","OTHER","UK",2003,5189
"TZA","SHORT","Zanzibar / Chumbe",2006,13.38
"TZA","SHORT","Zanzibar / Chumbe",2007,14.06
"TZA","SHORT","Zanzibar / Chumbe",2008,13.75
"TZA","SHORT","Zanzibar / Chumbe",2009,11.58
"TZA","SHORT","Zanzibar / Chumbe",2010,11.38
"TZA","SHORT","Zanzibar / Chumbe",2011,8.36
"USA","WAYCOTT","Chincoteague Bay",1986,2100
"USA","WAYCOTT","Chincoteague Bay",1987,2300
"USA","WAYCOTT","Chincoteague Bay",1989,2200
"USA","WAYCOTT","Chincoteague Bay",1990,2300
"USA","WAYCOTT","Chincoteague Bay",1991,2600
"USA","WAYCOTT","Chincoteague Bay",1992,3200
"USA","WAYCOTT","Chincoteague Bay",1993,3400
"USA","WAYCOTT","Chincoteague Bay",1994,3700
"USA","WAYCOTT","Chincoteague Bay",1995,3400
"USA","WAYCOTT","Chincoteague Bay",1996,4000
"USA","WAYCOTT","Chincoteague Bay",1997,5000
"USA","WAYCOTT","Chincoteague Bay",1998,5500
"USA","WAYCOTT","Chincoteague Bay",1999,6300
"USA","WAYCOTT","Chincoteague Bay",2000,6900
"USA","WAYCOTT","Chincoteague Bay",2001,6794
"USA","WAYCOTT","Chincoteague Bay",2002,6300
"USA","WAYCOTT","Chincoteague Bay",2003,6220
"USA","WAYCOTT","Sinepuxent Bay",1986,29
"USA","WAYCOTT","Sinepuxent Bay",1987,75
"USA","WAYCOTT","Sinepuxent Bay",1989,132
"USA","WAYCOTT","Sinepuxent Bay",1990,180
"USA","WAYCOTT","Sinepuxent Bay",1991,180
"USA","WAYCOTT","Sinepuxent Bay",1992,200
"USA","WAYCOTT","Sinepuxent Bay",1993,230
"USA","WAYCOTT","Sinepuxent Bay",1994,280
"USA","WAYCOTT","Sinepuxent Bay",1995,230
"USA","WAYCOTT","Sinepuxent Bay",1996,350
"USA","WAYCOTT","Sinepuxent Bay",1997,420
"USA","WAYCOTT","Sinepuxent Bay",1998,480
"USA","WAYCOTT","Sinepuxent Bay",1999,650
"USA","WAYCOTT","Sinepuxent Bay",2000,690
"USA","WAYCOTT","Sinepuxent Bay",2001,680
"USA","WAYCOTT","Sinepuxent Bay",2002,743
"USA","WAYCOTT","Sinepuxent Bay",2003,696
"USA","WAYCOTT","Southern Delmarva Coastal Bays",2001,20
"USA","WAYCOTT","Southern Delmarva Coastal Bays",2002,85
"USA","WAYCOTT","Southern Delmarva Coastal Bays",2003,158
"USA","WAYCOTT","Tampa Bay",,30970
"USA","WAYCOTT","Tampa Bay",1950,16448
"USA","WAYCOTT","Tampa Bay",1982,8764
"USA","WAYCOTT","Tampa Bay",1988,9427
"USA","WAYCOTT","Tampa Bay",1990,10213
"USA","WAYCOTT","Tampa Bay",1992,10426
"USA","WAYCOTT","Tampa Bay",1994,10736
"USA","WAYCOTT","Tampa Bay",1996,10897
"USA","WAYCOTT","Tampa Bay",1999,10057
"USA","WAYCOTT","Tampa Bay",2002,10558
"USA","WAYCOTT","Tampa Bay",2004,10941
"USA","WAYCOTT","Tampa Bay",2006,11466
"USA","WAYCOTT","Upper Charlotte Harbor",1982,7369
"USA","WAYCOTT","Upper Charlotte Harbor",1988,7507
"USA","WAYCOTT","Upper Charlotte Harbor",1992,7216
"USA","WAYCOTT","Upper Charlotte Harbor",1993,7532
"USA","WAYCOTT","Upper Charlotte Harbor",1996,7781
"USA","WAYCOTT","Upper Charlotte Harbor",1999,7224
"USA","WAYCOTT","Upper Charlotte Harbor",2002,7381
"USA","WAYCOTT","Saratosa Bay",1950,4886
"USA","WAYCOTT","Saratosa Bay",1987,3476
"USA","WAYCOTT","Saratosa Bay",1993,3865
"USA","WAYCOTT","Saratosa Bay",1995,4158
"USA","WAYCOTT","Saratosa Bay",1998,3701
"USA","WAYCOTT","Saratosa Bay",2001,3668
"USA","WAYCOTT","Maquoit Bay",1993,373.2
"USA","WAYCOTT","Maquoit Bay",,535.5
"USA","WAYCOTT","Maquoit Bay",2001,570.1
"USA","WAYCOTT","Hillsborough Bay",1987,0.00112885
"USA","WAYCOTT","Hillsborough Bay",1987,0.00034993
"USA","WAYCOTT","Hillsborough Bay",1987,0.00116875
"USA","WAYCOTT","Hillsborough Bay",1988,0.00024182
"USA","WAYCOTT","Hillsborough Bay",1988,0.00776219
"USA","WAYCOTT","Hillsborough Bay",1988,0.01484461
"USA","WAYCOTT","Hillsborough Bay",1989,0.01828509
"USA","WAYCOTT","Hillsborough Bay",1989,0.02929817
"USA","WAYCOTT","Hillsborough Bay",1989,0.04191263
"USA","WAYCOTT","Middle Tampa Bay",1986,48
"USA","WAYCOTT","Middle Tampa Bay",1989,98
"USA","WAYCOTT","Izembek Lagoon",1978,15067
"USA","WAYCOTT","Izembek Lagoon",1987,15915
"USA","WAYCOTT","Izembek Lagoon",1995,15951
"USA","WAYCOTT","Hamblin Pond, Waquoit Bay",1987,17.3
"USA","WAYCOTT","Hamblin Pond, Waquoit Bay",1988,19.3
"USA","WAYCOTT","Hamblin Pond, Waquoit Bay",1989,14.6
"USA","WAYCOTT","Hamblin Pond, Waquoit Bay",1992,10.1
"USA","WAYCOTT","Hamblin Pond, Waquoit Bay",1997,6.5
"USA","WAYCOTT","Eel Pond, Waquoit Bay",1987,14.3
"USA","WAYCOTT","Eel Pond, Waquoit Bay",1988,13.3
"USA","WAYCOTT","Eel Pond, Waquoit Bay",1989,12.1
"USA","WAYCOTT","Eel Pond, Waquoit Bay",1992,6.2
"USA","WAYCOTT","Eel Pond, Waquoit Bay",1994,0.66
"USA","WAYCOTT","Eel Pond, Waquoit Bay",2000,0
"USA","WAYCOTT","Jehu Pond, Waquoit Bay",1987,11.8
"USA","WAYCOTT","Jehu Pond, Waquoit Bay",1988,9.6
"USA","WAYCOTT","Jehu Pond, Waquoit Bay",1989,4.3
"USA","WAYCOTT","Jehu Pond, Waquoit Bay",1992,4.5
"USA","WAYCOTT","Jehu Pond, Waquoit Bay",1997,2
"USA","WAYCOTT","Central Basin, Waquoit Bay",1987,23.2
"USA","WAYCOTT","Central Basin, Waquoit Bay",1988,9.7
"USA","WAYCOTT","Central Basin, Waquoit Bay",1989,12.6
"USA","WAYCOTT","Central Basin, Waquoit Bay",1992,5.8
"USA","WAYCOTT","Great River, Waquoit Bay",1987,14.4
"USA","WAYCOTT","Great River, Waquoit Bay",1988,10.4
"USA","WAYCOTT","Great River, Waquoit Bay",1989,6
"USA","WAYCOTT","Great River, Waquoit Bay",1992,4.2
"USA","WAYCOTT","Tim's Pond, Waquoit Bay",1987,2.4
"USA","WAYCOTT","Tim's Pond, Waquoit Bay",1988,2.3
"USA","WAYCOTT","Tim's Pond, Waquoit Bay",1989,2.3
"USA","WAYCOTT","Tim's Pond, Waquoit Bay",1992,2.6
"USA","WAYCOTT","Offshore, Waquoit Bay",1987,1
"USA","WAYCOTT","Offshore, Waquoit Bay",1988,0.9
"USA","WAYCOTT","Offshore, Waquoit Bay",1989,0.8
"USA","WAYCOTT","Offshore, Waquoit Bay",1992,0.9
"USA","WAYCOTT","Ninigret Pond",1960,5.2
"USA","WAYCOTT","Ninigret Pond",1974,4.4
"USA","WAYCOTT","Ninigret Pond",1980,3.3
"USA","WAYCOTT","Ninigret Pond",1992,3.1
"USA","WAYCOTT","Puget Sound",2000,14470
"USA","WAYCOTT","Puget Sound",2001,20990
"USA","WAYCOTT","Puget Sound",2002,20390
"USA","WAYCOTT","Puget Sound",2003,20620
"USA","WAYCOTT","Puget Sound",2004,20140
"USA","WAYCOTT","Indian River Lagoon Segment SV",1943,305
"USA","WAYCOTT","Indian River Lagoon Segment SV",1986,43.2
"USA","WAYCOTT","Indian River Lagoon Segment SV",1989,34.8
"USA","WAYCOTT","Indian River Lagoon Segment SV",1992,67.1
"USA","WAYCOTT","Indian River Lagoon Segment SV",1994,61.7
"USA","WAYCOTT","Indian River Lagoon Segment SV",1996,119.8
"USA","WAYCOTT","Indian River Lagoon Segment SV",1999,205.3
"USA","WAYCOTT","Indian River Lagoon Segment SV",2001,214.9
"USA","WAYCOTT","Indian River Lagoon Segment SV",2003,241.7
"USA","WAYCOTT","Indian River Lagoon Segment SV",2005,252
