"speciesid","probability","loiczid"
"Kew-293259",0.64,120760
"Kew-293259",0.96,120040
"Kew-293259",0.76,119320
"Kew-293259",0.66,118600
"Kew-293259",0.38,117875
"Kew-293259",0.14,117157
"Kew-293259",0.38,117158
"Kew-293259",0.77,117880
"Kew-293259",0.62,117159
"Kew-293259",0.51,117160
"Kew-293259",0.76,116437
"Kew-293259",0.52,116438
"Kew-293259",0.87,115718
"Kew-293259",0.34,116439
"Kew-293259",0.44,116440
"Kew-293259",0.87,115719
"Kew-293259",0.57,115720
"Kew-293259",1,121481
"Kew-293259",1,121482
"Kew-293259",0.92,121483
"Kew-293259",1,120761
"Kew-293259",1,120762
"Kew-293259",1,120041
"Kew-293259",0.92,120763
"Kew-293259",1,120764
"Kew-293259",1,120044
"Kew-293259",1,119324
"Kew-293259",1,118604
"Kew-293259",0.94,119325
"Kew-293259",1,117883
"Kew-293259",1,117884
"Kew-293259",1,117163
"Kew-293259",0.87,116441
"Kew-293259",1,116442
"Kew-293259",1,115721
"Kew-293259",1,115722
"Kew-293259",1,116443
"Kew-293259",0.97,128715
"Kew-293259",0.97,128716
"Kew-293259",0.97,129437
"Kew-293259",0.97,129438
"Kew-293259",0.97,128717
"Kew-293259",0.97,128718
"Kew-293259",0.42,129439
"Kew-293259",0.49,129440
"Kew-293259",0.46,128719
"Kew-293259",0.96,127995
"Kew-293259",0.96,127996
"Kew-293259",0.96,127275
"Kew-293259",0.96,127276
"Kew-293259",0.97,127997
"Kew-293259",0.69,127998
"Kew-293259",0.97,127277
"Kew-293259",0.89,127278
"Kew-293259",0.98,125831
"Kew-293259",0.98,125832
"Kew-293259",0.97,126553
"Kew-293259",0.97,126554
"Kew-293259",0.97,125833
"Kew-293259",0.96,126555
"Kew-293259",0.95,126556
"Kew-293259",0.96,125835
"Kew-293259",0.96,125836
"Kew-293259",0.96,126557
"Kew-293259",0.99,125111
"Kew-293259",0.97,124393
"Kew-293259",0.97,124394
"Kew-293259",0.97,125115
"Kew-293259",0.97,124395
"Kew-293259",1,123672
"Kew-293259",1,122951
"Kew-293259",1,122952
"Kew-293259",1,123673
"Kew-293259",0.36,122956
"Kew-293259",0.31,123677
"Kew-293259",0.37,122957
"Kew-293259",1,120068
"Kew-293259",1,119348
"Kew-293259",1,118627
"Kew-293259",1,118628
"Kew-293259",1,117186
"Kew-293259",1,117907
"Kew-293259",1,117908
"Kew-293259",1,117187
"Kew-293259",1,117188
"Kew-293259",1,116466
"Kew-293259",1,122231
"Kew-293259",1,122232
"Kew-293259",1,121511
"Kew-293259",1,121512
"Kew-293259",1,122233
"Kew-293259",1,122234
"Kew-293259",0.75,122235
"Kew-293259",0.38,122236
"Kew-293259",0.44,120799
"Kew-293259",0.2,120800
"Kew-293259",0.44,120079
"Kew-293259",0.44,120080
"Kew-293259",0.75,119357
"Kew-293259",0.75,119358
"Kew-293259",0.75,118637
"Kew-293259",0.75,118638
"Kew-293259",0.75,119359
"Kew-293259",0.75,119360
"Kew-293259",0.75,118639
"Kew-293259",1,117916
"Kew-293259",1,117196
"Kew-293259",1,117917
"Kew-293259",0.75,117918
"Kew-293259",1,117197
"Kew-293259",0.33,117919
"SLB-159390",0.84,117200
"Kew-308804",0.87,117200
"Kew-293259",0.49,117200
"Kew-293259",1,116476
"Kew-293259",1,115756
"Kew-293259",1,116477
"Kew-293259",1,115757
"Kew-293259",1,115758
"SLB-159390",0.86,116479
"Kew-308804",0.88,116479
"Kew-293259",0.49,116479
"SLB-159390",0.86,116480
"Kew-308804",0.88,116480
"Kew-293259",0.49,116480
"SLB-159390",0.86,115759
"Kew-308804",0.88,115759
"Kew-293259",0.49,115759
"SLB-159390",0.86,115760
"Kew-308804",0.88,115760
"Kew-293259",0.49,115760
"SLB-159390",0.04,129446
"Kew-308804",0.36,129446
"SLB-159390",0.04,128725
"Kew-308804",0.36,128725
"SLB-159390",0.04,128726
"Kew-308804",0.36,128726
"SLB-159390",0.41,129447
"Kew-308804",0.36,129447
"SLB-159390",0.11,129448
"Kew-308804",0.13,129448
"SLB-159390",0.19,128727
"Kew-308804",0.21,128727
"SLB-159390",0.06,128728
"Kew-308804",0.08,128728
"SLB-159390",0.56,129449
"Kew-308804",0.66,129449
"Kew-293259",0.04,129449
"SLB-159390",0.53,129450
"Kew-308804",0.62,129450
"Kew-293259",0.04,129450
"SLB-159390",0.41,128729
"Kew-308804",0.49,128729
"Kew-293259",0.03,128729
"SLB-159390",0.75,128730
"Kew-308804",0.74,128730
"Kew-293259",0.06,128730
"SLB-159390",0.09,127282
"Kew-308804",0.95,127282
"Kew-293259",0.49,127282
"SLB-159390",0.08,127283
"Kew-308804",0.35,127283
"SLB-159390",0.04,127284
"Kew-308804",0.05,127284
"SLB-159390",0.4,128005
"Kew-308804",0.36,128005
"SLB-159390",0.19,128006
"Kew-308804",0.21,128006
"Kew-308804",0.01,127285
"SLB-159390",0.03,127288
"Kew-308804",0.32,127288
"Kew-293259",0.11,127288
"SLB-159390",0.4,128009
"Kew-308804",0.47,128009
"Kew-293259",0.03,128009
"SLB-159390",1,128010
"Kew-308804",1,128010
"Kew-293259",1,128010
"SLB-159390",0.86,127289
"Kew-308804",1,127289
"Kew-293259",0.92,127289
"SLB-159390",1,127290
"SLB-159390",0.28,126561
"Kew-308804",0.35,126561
"SLB-159390",0.67,126562
"Kew-308804",0.67,126562
"SLB-159390",0.31,126563
"Kew-308804",0.38,126563
"SLB-159390",0.19,126565
"Kew-308804",0.2,126565
"SLB-159390",0.54,126566
"Kew-308804",0.66,126566
"Kew-293259",0.56,126566
"SLB-159390",0.48,126568
"Kew-308804",0.58,126568
"Kew-293259",0.48,126568
"SLB-159390",0.71,125847
"Kew-308804",0.84,125847
"Kew-293259",0.75,125847
"SLB-159390",1,125848
"Kew-308804",1,125848
"Kew-293259",1,125848
"Kew-308090",0.43,125848
"SLB-159390",1,126569
"Kew-308804",1,126569
"Kew-293259",1,126569
"SLB-159390",1,126570
"Kew-308804",1,126570
"Kew-293259",1,126570
"Kew-308090",0.15,126570
"SLB-159390",1,125849
"Kew-308804",1,125849
"Kew-293259",1,125849
"Kew-308090",0.43,125849
"SLB-159390",1,125850
"Kew-308804",1,125850
"Kew-293259",1,125850
"Kew-308090",0.43,125850
"SLB-159390",0.69,125127
"Kew-308804",0.82,125127
"Kew-293259",0.73,125127
"SLB-159390",1,125128
"Kew-293259",1,125128
"Kew-308090",0.79,125128
"SLB-159390",1,124407
"Kew-308804",1,124407
"Kew-293259",1,124407
"SLB-159390",1,124408
"Kew-308804",1,124408
"Kew-293259",1,124408
"Kew-308090",0.79,124408
"SLB-159390",1,125129
"Kew-293259",1,125129
"Kew-308090",0.79,125129
"SLB-159390",0.98,123687
"Kew-308804",1,123687
"Kew-293259",1,123687
"SLB-159390",1,123688
"Kew-293259",1,123688
"Kew-308090",1,123688
"SLB-159390",0.96,122967
"Kew-308804",1,122967
"Kew-293259",1,122967
"SLB-159390",1,122968
"Kew-308804",1,122968
"Kew-293259",1,122968
"Kew-308090",0.76,122968
"SLB-159390",0.86,129451
"SLB-159390",1,128731
"Kew-293259",1,128731
"SLB-159390",1,129454
"Kew-293259",1,129454
"Kew-308090",0.45,129454
"SLB-159390",1,128734
"Kew-308804",1,128734
"Kew-293259",1,128734
"Kew-308090",0.45,128734
"SLB-159390",1,129455
"Kew-308804",1,129455
"Kew-293259",1,129455
"Kew-308090",0.55,129455
"SLB-159390",1,129456
"Kew-293259",1,129456
"SLB-159390",1,128735
"Kew-308804",1,128735
"Kew-293259",1,128735
"Kew-308090",0.61,128735
"SLB-159390",1,128736
"Kew-308804",1,128736
"Kew-293259",1,128736
"SLB-159390",0.66,129457
"Kew-308804",0.79,129457
"Kew-293259",0.7,129457
"SLB-159390",0.78,128737
"Kew-293259",0.84,128737
"SLB-159390",0.02,128738
"Kew-308804",0.06,128738
"SLB-159390",0.45,129459
"Kew-308804",0.55,129459
"Kew-293259",0.46,129459
"SLB-159390",1,128011
"Kew-293259",0.67,128011
"Kew-308090",0.67,128011
"SLB-159390",1,128014
"Kew-308804",1,128014
"Kew-293259",1,128014
"Kew-308090",0.79,128014
"SLB-159390",1,127293
"Kew-293259",1,127293
"Kew-308090",0.79,127293
"SLB-159390",1,127294
"Kew-293259",1,127294
"Kew-308090",0.79,127294
"SLB-159390",1,128015
"Kew-308804",1,128015
"Kew-293259",1,128015
"Kew-308090",0.79,128015
"SLB-159390",1,128016
"Kew-308804",1,128016
"Kew-293259",1,128016
"Kew-308090",0.56,128016
"SLB-159390",1,128017
"Kew-293259",1,128017
"SLB-159390",0.1,127298
"Kew-293259",0.06,127298
"SLB-159390",0.56,128019
"Kew-308804",0.69,128019
"Kew-293259",0.6,128019
"SLB-159390",0.68,127299
"Kew-308804",0.83,127299
"Kew-293259",0.74,127299
"SLB-159390",0.27,127300
"Kew-308804",0.34,127300
"Kew-293259",0.25,127300
"SLB-159390",1,126572
"Kew-293259",1,126572
"Kew-308090",0.8,126572
"SLB-159390",1,125851
"Kew-293259",1,125851
"Kew-308090",0.8,125851
"SLB-159390",1,125852
"Kew-308804",1,125852
"Kew-293259",1,125852
"Kew-308090",0.8,125852
"SLB-159390",1,126573
"Kew-293259",1,126573
"Kew-308090",0.85,126573
"SLB-159390",1,125853
"Kew-308804",1,125853
"Kew-293259",1,125853
"Kew-308090",0.85,125853
"SLB-159390",0.83,125854
"Kew-293259",1,125854
"Kew-308090",0.38,125854
"SLB-159390",1,125856
"Kew-293259",1,125856
"Kew-308090",0.71,125856
"SLB-159390",0.53,126578
"Kew-308804",0.64,126578
"Kew-293259",0.55,126578
"SLB-159390",1,125858
"Kew-308804",1,125858
"Kew-293259",1,125858
"SLB-159390",0.99,126579
"Kew-308804",1,126579
"Kew-293259",1,126579
"SLB-159390",0.99,126580
"Kew-308804",1,126580
"Kew-293259",1,126580
"SLB-159390",0.99,125859
"Kew-308804",1,125859
"Kew-293259",1,125859
"Kew-308090",0.35,125859
"SLB-159390",0.57,125860
"SLB-159390",1,125132
"Kew-308804",1,125132
"Kew-293259",1,125132
"Kew-308090",0.61,125132
"SLB-159390",1,125133
"Kew-308804",0.91,125133
"Kew-293259",1,125133
"Kew-308090",0.63,125133
"SLB-159390",0.88,125134
"Kew-293259",1,125134
"Kew-308090",0.45,125134
"SLB-159390",0.69,124413
"Kew-293259",1,124413
"Kew-308090",0.29,124413
"SLB-159390",0.97,125136
"Kew-293259",1,125136
"Kew-308090",0.52,125136
"SLB-159390",0.74,124416
"Kew-293259",1,124416
"Kew-308090",0.32,124416
"SLB-159390",0.9,125137
"Kew-293259",1,125137
"Kew-308090",0.41,125137
"SLB-159390",1,125138
"Kew-308804",1,125138
"Kew-293259",1,125138
"Kew-308090",0.8,125138
"SLB-159390",0.99,124417
"Kew-293259",1,124417
"Kew-308090",0.48,124417
"SLB-159390",1,124418
"Kew-293259",1,124418
"Kew-308090",0.59,124418
"SLB-159390",1,125139
"Kew-293259",1,125139
"Kew-308090",0.56,125139
"SLB-159390",0.49,123695
"Kew-293259",0.92,123695
"Kew-308090",0.11,123695
"SLB-159390",0.6,123696
"Kew-293259",0.97,123696
"Kew-308090",0.22,123696
"SLB-159390",0.37,122976
"Kew-293259",0.87,122976
"SLB-159390",0.7,123697
"Kew-293259",1,123697
"Kew-308090",0.3,123697
"SLB-159390",0.62,123698
"Kew-293259",0.97,123698
"Kew-308090",0.23,123698
"SLB-159390",0.34,122977
"Kew-293259",0.86,122977
"Kew-293259",0.04,122241
"Kew-293259",0.11,121521
"SLB-159390",0.58,121525
"Kew-308804",0.79,121525
"Kew-293259",0.58,121525
"SLB-159390",0.96,121526
"Kew-308804",0.98,121526
"Kew-293259",0.82,121526
"SLB-159390",1,122247
"Kew-308804",1,122247
"Kew-293259",1,122247
"SLB-159390",0.57,122248
"SLB-159390",1,121527
"Kew-308804",1,121527
"Kew-293259",1,121527
"Kew-308090",0.76,121527
"Kew-293259",0.2,120801
"Kew-293259",0.37,120081
"SLB-159390",0.56,120082
"Kew-308804",0.68,120082
"Kew-293259",0.28,120082
"SLB-159390",0.92,120804
"Kew-308804",0.96,120804
"Kew-293259",0.82,120804
"SLB-159390",0.8,120083
"Kew-308804",0.83,120083
"Kew-293259",0.38,120083
"SLB-159390",0.8,120084
"Kew-308804",0.83,120084
"Kew-293259",0.38,120084
"SLB-159390",0.96,120805
"Kew-308804",0.98,120805
"Kew-293259",0.82,120805
"SLB-159390",0.96,120806
"Kew-308804",0.98,120806
"Kew-293259",0.82,120806
"SLB-159390",0.96,120085
"Kew-293259",0.82,120085
"SLB-159390",0.69,119361
"Kew-308804",0.81,119361
"Kew-293259",0.35,119361
"SLB-159390",0.79,119362
"Kew-308804",0.81,119362
"Kew-293259",0.38,119362
"SLB-159390",0.72,118641
"Kew-308804",0.81,118641
"Kew-293259",0.38,118641
"SLB-159390",0.79,118642
"SLB-159390",0.81,119363
"Kew-293259",0.38,119363
"SLB-159390",0.81,119364
"Kew-293259",0.38,119364
"SLB-159390",0.92,119365
"SLB-159390",0.57,118648
"SLB-159390",0.57,118649
"SLB-159390",0.8,117921
"Kew-308804",0.86,117921
"Kew-293259",0.49,117921
"SLB-159390",0.77,117922
"Kew-308804",0.79,117922
"Kew-293259",0.28,117922
"SLB-159390",0.83,117201
"Kew-308804",0.86,117201
"Kew-293259",0.49,117201
"SLB-159390",0.83,117202
"Kew-293259",0.49,117202
"SLB-159390",0.22,117923
"SLB-159390",0.22,117203
"SLB-159390",0.94,117928
"Kew-293259",0.25,117928
"SLB-159390",0.81,117208
"SLB-159390",1,117929
"SLB-159390",1,117930
"Kew-308804",1,117930
"Kew-293259",1,117930
"SLB-159390",1,117209
"Kew-293259",1,117209
"SLB-159390",0.84,116481
"Kew-308804",0.87,116481
"Kew-293259",0.49,116481
"SLB-159390",0.36,116482
"SLB-159390",0.84,115761
"Kew-308804",0.87,115761
"Kew-293259",0.49,115761
"SLB-159390",0.79,115766
"Kew-308804",0.8,115766
"Kew-293259",0.25,115766
"SLB-159390",0.82,116487
"Kew-293259",0.29,116487
"SLB-159390",0.82,116488
"Kew-308804",0.82,116488
"Kew-293259",0.29,116488
"SLB-159390",0.82,115767
"Kew-293259",0.29,115767
"SLB-159390",0.82,115768
"Kew-293259",0.29,115768
"SLB-159390",0.82,116489
"Kew-293259",0.29,116489
"SLB-159390",0.58,116490
"Kew-308804",0.69,116490
"Kew-293259",0.6,116490
"SLB-159390",0.82,115769
"Kew-308804",0.82,115769
"Kew-293259",0.29,115769
"SLB-159390",0.82,115770
"Kew-308804",0.82,115770
"Kew-293259",0.29,115770
"SLB-159390",0.29,118652
"SLB-159390",0.3,118653
"SLB-159390",0.06,118654
"SLB-159390",0.13,118655
"Kew-293259",0.22,118657
"SLB-159390",1,117931
"Kew-293259",1,117931
"Kew-308090",0.64,117931
"SLB-159390",0.9,117932
"Kew-293259",0.67,117932
"Kew-308090",0.22,117932
"SLB-159390",1,117211
"Kew-308804",1,117211
"Kew-293259",1,117211
"SLB-159390",1,117212
"Kew-308804",1,117212
"Kew-293259",1,117212
"Kew-308090",0.64,117212
"SLB-159390",0.49,117933
"Kew-293259",0.61,117933
"Kew-308090",0.04,117933
"SLB-159390",0.32,117934
"Kew-293259",0.56,117934
"SLB-159390",0.6,117213
"Kew-293259",0.64,117213
"Kew-308090",0.08,117213
"SLB-159390",0.38,117214
"Kew-293259",0.58,117214
"SLB-159390",0.76,117935
"Kew-293259",0.19,117935
"Kew-308090",0.04,117935
"SLB-159390",0.37,117936
"Kew-293259",0.5,117936
"SLB-159390",1,117215
"Kew-293259",0.19,117215
"Kew-308090",0.11,117215
"SLB-159390",0.71,117216
"Kew-293259",0.58,117937
"SLB-159390",0.19,117217
"Kew-293259",0.65,117217
"SLB-159390",1,116491
"Kew-308804",1,116491
"Kew-293259",1,116491
"Kew-308090",0.06,116491
"SLB-159390",0.98,116492
"Kew-308804",1,116492
"Kew-293259",1,116492
"SLB-159390",1,115771
"Kew-308804",1,115771
"Kew-293259",1,115771
"Kew-308090",0.61,115771
"SLB-159390",0.1,115772
"Kew-308804",1,115772
"Kew-293259",0.35,115772
"Kew-308090",0.18,115772
"SLB-159390",0.28,116493
"Kew-308804",0.37,116493
"Kew-293259",0.03,116493
"SLB-159390",0.95,116494
"Kew-293259",0.12,116494
"SLB-159390",0.7,115773
"Kew-308804",0.88,115773
"Kew-293259",0.09,115773
"SLB-159390",0.96,116495
"SLB-159390",0.96,115775
"Kew-293259",0.16,115775
"SLB-159390",0.96,115776
"Kew-293259",0.11,115776
"SLB-159390",0.53,116497
"Kew-293259",0.31,116498
"Kew-293259",0.34,115777
"Kew-293259",0.33,115778
"SLB-159390",0.64,127301
"Kew-308804",0.79,127301
"Kew-293259",0.59,127301
"SLB-159390",0.03,127302
"Kew-308804",0.07,127302
"SLB-159390",0.09,128023
"Kew-308804",0.91,128023
"Kew-293259",0.38,128023
"SLB-159390",0.68,127303
"Kew-308804",0.84,127303
"Kew-293259",0.63,127303
"SLB-159390",0.91,125862
"SLB-159390",0.05,126584
"Kew-308804",0.57,126584
"Kew-293259",0.23,126584
"SLB-159390",0.16,125863
"Kew-308804",0.22,125863
"Kew-293259",0.13,125863
"SLB-159390",0.01,125865
"Kew-308804",0.06,125865
"SLB-159390",0.85,125143
"SLB-159390",0.83,125144
"Kew-293259",0.86,125144
"SLB-159390",0.99,124424
"SLB-159390",0.28,125145
"Kew-308804",0.36,125145
"Kew-293259",0.18,125145
"SLB-159390",0.51,124425
"SLB-159390",0.46,125147
"Kew-308804",0.56,125147
"Kew-293259",0.32,125147
"SLB-159390",0.75,124427
"Kew-308804",0.89,124427
"Kew-293259",0.8,124427
"SLB-159390",0.8,124428
"Kew-308804",0.96,124428
"Kew-293259",0.86,124428
"SLB-159390",0.88,122985
"Kew-293259",0.33,122985
"Kew-308090",0.05,122985
"SLB-159390",1,122986
"Kew-293259",1,122986
"Kew-308090",0.29,122986
"SLB-159390",1,123707
"Kew-293259",1,123707
"Kew-308090",0.02,123707
"SLB-159390",0.49,123708
"Kew-308804",0.59,123708
"Kew-293259",0.49,123708
"SLB-159390",1,122987
"Kew-293259",1,122987
"Kew-308090",0.43,122987
"SLB-159390",0.18,122988
"Kew-293259",0.15,122988
"SLB-159390",0.2,123709
"Kew-308804",1,123709
"Kew-293259",1,123709
"Kew-308090",0.03,123709
"SLB-159390",1,122989
"Kew-308804",1,122989
"Kew-293259",1,122989
"SLB-159390",1,122990
"Kew-308804",1,122990
"Kew-293259",1,122990
"SLB-159390",0.2,129475
"Kew-308804",1,129475
"Kew-293259",1,129475
"Kew-308090",0.26,129475
"SLB-159390",0.49,129476
"Kew-308804",0.6,129476
"Kew-293259",0.51,129476
"SLB-159390",0.87,128756
"Kew-308804",1,128756
"Kew-293259",0.93,128756
"SLB-159390",0.96,128757
"Kew-308804",1,128757
"Kew-293259",1,128757
"SLB-159390",0.98,128758
"Kew-308804",1,128758
"Kew-293259",1,128758
"Kew-308090",0.19,128758
"SLB-159390",0.96,129480
"Kew-308804",0.98,129480
"Kew-293259",1,129480
"Kew-308090",0.92,129480
"SLB-159390",0.96,128759
"Kew-308804",0.98,128759
"Kew-293259",1,128759
"Kew-308090",1,128759
"SLB-159390",0.96,128760
"Kew-308804",0.98,128760
"Kew-293259",1,128760
"Kew-308090",1,128760
"SLB-159390",0.08,128036
"Kew-308804",0.98,128036
"Kew-293259",0.45,128036
"SLB-159390",0.92,127316
"Kew-308804",1,127316
"Kew-293259",1,127316
"SLB-159390",0.2,128037
"Kew-308804",1,128037
"Kew-293259",1,128037
"Kew-308090",0.13,128037
"SLB-159390",0.98,128038
"Kew-308804",1,128038
"Kew-293259",1,128038
"Kew-308090",1,128038
"SLB-159390",0.98,127317
"Kew-308804",1,127317
"Kew-293259",1,127317
"Kew-308090",0.94,127317
"SLB-159390",0.98,127318
"Kew-308804",1,127318
"Kew-293259",1,127318
"SLB-159390",0.96,128039
"Kew-308804",0.99,128039
"Kew-293259",1,128039
"Kew-308090",1,128039
"SLB-159390",0.96,127319
"Kew-308804",0.99,127319
"Kew-293259",1,127319
"Kew-308090",1,127319
"SLB-159390",0.5,126596
"Kew-308804",0.61,126596
"Kew-293259",0.51,126596
"SLB-159390",0.84,126597
"Kew-308804",1,126597
"Kew-293259",0.91,126597
"SLB-159390",0.98,126598
"Kew-308804",1,126598
"Kew-293259",1,126598
"Kew-308090",0.81,126598
"SLB-159390",0.98,125877
"Kew-293259",1,125877
"Kew-308090",0.15,125877
"SLB-159390",0.81,125155
"Kew-308804",0.97,125155
"Kew-293259",0.88,125155
"SLB-159390",0.09,124435
"Kew-308804",1,124435
"Kew-293259",0.5,124435
"SLB-159390",1,122991
"Kew-308804",1,122991
"Kew-293259",1,122991
"Kew-308090",0.8,122991
"SLB-159390",0.1,123715
"Kew-308804",1,123715
"Kew-293259",0.5,123715
"Kew-308090",0.24,123715
"SLB-159390",0.95,123716
"Kew-308804",1,123716
"Kew-293259",1,123716
"SLB-159390",0.94,123717
"Kew-308804",1,123717
"Kew-293259",1,123717
"SLB-159390",1,123718
"Kew-308804",1,123718
"Kew-293259",1,123718
"SLB-159390",1,122997
"Kew-308804",1,122997
"Kew-293259",1,122997
"Kew-308090",0.75,122997
"SLB-159390",0.06,122998
"Kew-293259",0.74,122998
"SLB-159390",1,123719
"Kew-293259",1,123719
"Kew-308090",0.41,123719
"SLB-159390",1,122999
"Kew-308804",1,122999
"Kew-293259",1,122999
"SLB-159390",1,123000
"Kew-308804",1,123000
"Kew-293259",1,123000
"Kew-308090",1,123000
"SLB-159390",1,122266
"Kew-293259",1,122266
"Kew-308090",0.44,122266
"SLB-159390",0.79,122269
"Kew-293259",0.85,122269
"SLB-159390",1,122270
"Kew-308804",1,122270
"Kew-293259",1,122270
"SLB-159390",1,121550
"Kew-293259",1,121550
"Kew-308090",0.4,121550
"Kew-293259",0.57,118664
"Kew-293259",0.56,118666
"SLB-159390",0.06,119388
"Kew-293259",0.74,119388
"SLB-159390",0.25,118668
"Kew-293259",0.82,118668
"SLB-159390",0.27,118669
"Kew-293259",0.83,118669
"Kew-293259",0.47,117942
"Kew-293259",0.47,117944
"Kew-293259",0.47,117224
"Kew-293259",0.5,117945
"Kew-293259",0.53,117225
"Kew-293259",0.46,117226
"SLB-159390",0.19,117947
"Kew-293259",0.79,117947
"Kew-293259",0.57,117948
"Kew-293259",0.56,117228
"Kew-293259",0.6,117949
"SLB-159390",0.04,117950
"Kew-293259",0.73,117950
"Kew-293259",0.6,117229
"Kew-293259",0.52,115786
"Kew-293259",0.49,116508
"Kew-293259",0.41,115787
"Kew-293259",0.47,115789
"Kew-293259",0.44,115790
"SLB-159390",1,122271
"Kew-308804",1,122271
"Kew-293259",1,122271
"SLB-159390",1,122272
"Kew-308804",1,122272
"Kew-293259",1,122272
"Kew-308090",0.06,122272
"SLB-159390",1,121551
"Kew-293259",1,121551
"Kew-308090",0.22,121551
"SLB-159390",1,121552
"Kew-308804",1,121552
"Kew-293259",1,121552
"Kew-308090",0.8,121552
"SLB-159390",1,121553
"Kew-308804",1,121553
"Kew-293259",1,121553
"Kew-308090",0.1,121553
"SLB-159390",0.64,121556
"Kew-308804",0.94,121556
"Kew-293259",0.85,121556
"SLB-159390",0.2,122277
"Kew-308804",1,122277
"Kew-293259",1,122277
"Kew-308090",0.01,122277
"SLB-159390",1,122278
"Kew-308804",1,122278
"Kew-293259",1,122278
"Kew-308090",1,122278
"SLB-159390",1,121557
"Kew-308804",1,121557
"Kew-293259",1,121557
"Kew-308090",0.6,121557
"SLB-159390",1,121558
"Kew-308804",1,121558
"Kew-293259",1,121558
"Kew-308090",0.78,121558
"SLB-159390",1,122279
"Kew-308804",1,122279
"Kew-293259",1,122279
"Kew-308090",0.79,122279
"SLB-159390",1,122280
"Kew-308804",1,122280
"Kew-293259",1,122280
"Kew-308090",0.67,122280
"SLB-159390",1,121559
"Kew-293259",1,121559
"SLB-159390",1,121560
"Kew-308804",1,121560
"Kew-293259",1,121560
"Kew-308090",1,121560
"SLB-159390",1,120831
"Kew-293259",1,120831
"Kew-308090",0.8,120831
"SLB-159390",1,120832
"Kew-308804",1,120832
"Kew-293259",1,120832
"Kew-308090",0.77,120832
"SLB-159390",1,120112
"Kew-293259",1,120112
